Player,Team,Agents,RND,Rating,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,Clutches,KMax,K,D,A,FK,FD
Bing Chilling,TAMU,,386,0.90,168.7,0.78,77%,107.0,0.56,0.54,0.05,0.06,14%,15%,7/48,23,217,278,209,19,22
Boomy,5 BI,,843,0.90,192.7,0.90,66%,122.6,0.67,0.21,0.14,0.13,21%,14%,10/73,27,567,633,180,117,113
Juskay,VLNT,,412,0.90,165.2,0.87,72%,106.7,0.60,0.34,0.05,0.08,27%,13%,8/60,29,248,284,141,22,33
BlackMoose,Elat,,538,0.90,170.7,0.80,68%,115.1,0.58,0.30,0.04,0.05,25%,9%,5/57,23,313,390,159,21,27
Muzz,MEAT,,282,0.90,180.3,0.90,67%,102.6,0.65,0.25,0.08,0.10,27%,11%,4/36,19,183,203,70,22,28
EunSik,EXZ,,310,0.90,186.3,0.87,60%,128.8,0.65,0.21,0.07,0.13,27%,13%,7/52,23,203,234,64,21,41
Zexy,SLT,,306,0.90,197.4,0.93,72%,127.8,0.70,0.19,0.17,0.17,26%,9%,2/23,23,215,230,59,53,53
21,ZEN,,291,0.90,165.7,0.79,66%,113.4,0.57,0.31,0.07,0.05,30%,11%,5/45,20,167,211,91,19,16
Kouf,AMB,,942,0.90,177.5,0.86,68%,119.1,0.62,0.30,0.07,0.08,23%,13%,19/142,25,581,676,286,68,75
cortezia,RED,,602,0.90,185.6,0.91,71%,124.9,0.64,0.24,0.09,0.10,32%,4%,2/46,21,387,425,142,57,62
kyu,ES E,,262,0.90,192.2,0.85,65%,109.2,0.69,0.21,0.09,0.08,43%,9%,5/53,24,182,215,54,24,22
Levius,BLG,,657,0.90,170.6,0.90,68%,110.1,0.60,0.21,0.05,0.09,25%,,0/26,21,394,436,141,27,44
sofia,FMG.GC,,453,0.90,171.0,0.87,70%,106.4,0.60,0.25,0.08,0.11,27%,13%,7/52,21,270,309,114,38,51
Grmekista,Z10,,584,0.90,168.7,0.81,69%,116.4,0.59,0.31,0.07,0.06,25%,18%,13/71,27,342,421,180,40,37
PKX,PEEK,,225,0.89,168.5,0.88,62%,115.8,0.62,0.13,0.05,0.11,37%,12%,6/50,27,140,160,30,12,24
LilBOii,AST,,211,0.89,168.7,0.85,69%,110.2,0.63,0.30,0.06,0.08,34%,8%,2/25,20,133,156,63,12,17
YuNo,UCAM,,282,0.89,168.2,0.83,75%,110.2,0.59,0.37,0.10,0.11,24%,13%,4/32,20,167,201,103,28,30
Rosé,BCF,,666,0.89,169.5,0.86,71%,114.9,0.58,0.29,0.06,0.08,25%,12%,7/60,21,385,447,192,38,50
Loupiote,ZER.M,,609,0.89,167.6,0.81,66%,117.7,0.59,0.24,0.04,0.10,28%,21%,17/82,25,357,439,145,26,60
jademwah,SK.N,,884,0.89,174.9,0.85,75%,111.7,0.61,0.44,0.08,0.13,25%,11%,11/96,24,540,632,391,71,114
Spilly,FOCU,,216,0.89,167.4,0.79,72%,109.0,0.57,0.37,0.05,0.03,23%,15%,3/20,15,123,155,80,11,7
Blossi,ATNR,,296,0.89,167.2,0.82,69%,114.2,0.60,0.30,0.03,0.08,29%,19%,7/36,28,178,216,90,9,23
traded,KRÜ,,449,0.89,205.7,0.92,64%,137.1,0.73,0.14,0.12,0.15,32%,8%,2/25,25,328,356,62,55,66
winter,SCCP.IN,,202,0.89,187.2,0.84,63%,133.0,0.65,0.20,0.14,0.19,22%,,0/12,26,132,158,40,29,39
schnellÆ,QAD.GC,,810,0.89,196.1,0.92,67%,130.3,0.70,0.23,0.15,0.15,32%,11%,6/57,26,570,618,184,122,124
shyz,SCCP.IN,,202,0.89,161.0,0.81,63%,111.0,0.57,0.27,0.03,0.08,21%,10%,3/31,18,115,142,55,6,16
nicksz,RED,,281,0.89,186.2,0.85,70%,119.7,0.65,0.44,0.07,0.13,28%,16%,5/32,25,182,214,124,20,37
garrett,,,707,0.89,199.0,0.87,66%,133.5,0.68,0.21,0.11,0.16,24%,13%,8/63,24,479,550,149,78,115
babyjaigrayray,,,283,0.89,168.1,0.85,71%,113.3,0.61,0.27,0.03,0.04,26%,19%,9/48,20,174,204,76,9,12
RvK,DXE,,230,0.89,184.4,0.83,63%,118.8,0.64,0.27,0.07,0.11,41%,9%,3/32,20,147,177,61,17,26
hoka,NB,,329,0.89,209.5,0.91,65%,126.3,0.73,0.19,0.15,0.18,28%,5%,1/19,29,241,265,62,50,58
NXBLE,TAMU,,362,0.89,163.7,0.81,69%,109.5,0.56,0.35,0.04,0.05,24%,16%,9/55,21,204,251,127,13,19
Klaus,SLT,,306,0.89,194.5,0.95,64%,127.5,0.71,0.21,0.09,0.09,33%,9%,3/32,22,217,228,65,29,27
SiuFatBB,WOL,,573,0.89,155.4,0.85,69%,104.7,0.55,0.24,0.03,0.06,28%,23%,15/65,20,314,368,137,14,29
Touven,SUP,,329,0.89,177.5,0.88,68%,120.2,0.62,0.28,0.08,0.12,27%,23%,10/43,23,204,231,92,26,39
Moong,,,316,0.89,222.1,0.89,64%,140.6,0.73,0.21,0.20,0.24,20%,13%,3/24,26,230,257,67,62,76
Battison,SaD,,413,0.89,208.8,0.92,67%,133.2,0.72,0.21,0.13,0.14,27%,7%,2/29,25,298,323,86,52,57
flasHH,Tuff,,354,0.89,203.5,0.85,64%,134.7,0.69,0.17,0.14,0.17,28%,12%,4/33,25,246,288,61,48,59
VantiK,PRS,,734,0.89,180.6,0.81,71%,119.1,0.61,0.35,0.09,0.09,28%,4%,4/90,20,450,556,255,65,69
kappi,,,227,0.89,189.1,0.88,68%,119.4,0.65,0.21,0.07,0.07,23%,16%,6/37,24,148,168,47,16,15
hyjinx,HU,,380,0.89,181.5,0.82,69%,120.9,0.64,0.37,0.11,0.09,24%,13%,4/30,19,244,298,139,41,35
Surf,TLN.AC,,260,0.89,184.4,0.88,66%,120.2,0.66,0.17,0.05,0.08,31%,13%,4/32,26,171,194,44,12,22
Meteor,T1,,246,0.89,192.8,0.87,65%,131.7,0.67,0.17,0.10,0.13,29%,7%,2/28,24,164,188,42,25,32
Looxie,DVM.MI,,662,0.89,176.9,0.91,67%,114.8,0.62,0.24,0.09,0.10,38%,17%,10/59,21,413,456,162,60,64
jcrueL,NBG,,241,0.89,179.1,0.82,73%,121.8,0.61,0.39,0.03,0.05,22%,9%,3/34,18,146,177,95,7,11
nyli,Unde,,390,0.89,173.3,0.86,69%,108.2,0.61,0.33,0.09,0.08,23%,16%,8/51,20,239,279,128,37,31
mogzin,,,240,0.89,176.6,0.80,67%,119.0,0.63,0.27,0.08,0.08,27%,8%,4/51,20,150,187,64,18,18
cawn,SJSU,,231,0.89,167.0,0.81,71%,113.2,0.58,0.27,0.08,0.13,29%,7%,2/29,19,134,165,63,19,31
sym,TSM,,525,0.89,217.0,0.92,65%,142.6,0.74,0.18,0.21,0.22,26%,9%,2/22,26,387,421,93,112,115
saadhak,KC,,507,0.88,172.9,0.81,73%,114.5,0.56,0.39,0.10,0.13,23%,22%,11/51,24,285,354,200,52,65
demon,BKR,,554,0.88,197.0,0.86,63%,131.4,0.68,0.19,0.14,0.17,25%,26%,10/39,26,379,442,108,77,93
sulunist,,,271,0.88,214.6,0.93,63%,140.0,0.75,0.20,0.15,0.19,26%,18%,4/22,27,202,218,53,42,51
crazyguy,RRQ,,531,0.88,169.4,0.81,70%,113.0,0.56,0.33,0.07,0.08,24%,10%,8/81,23,297,366,177,38,40
ImNotD7o,DRGN,,237,0.88,185.8,0.80,66%,120.4,0.64,0.33,0.04,0.12,23%,18%,5/28,22,152,190,79,9,28
kellyS,TS,,208,0.88,183.2,0.91,66%,114.2,0.66,0.27,0.08,0.09,25%,8%,2/26,26,137,150,56,14,17
viness,TS.AC,,308,0.88,197.2,0.89,67%,130.5,0.66,0.20,0.10,0.09,25%,10%,4/40,21,204,230,62,30,27
D0V3S,Over,,506,0.88,167.8,0.84,72%,104.3,0.62,0.35,0.07,0.08,19%,6%,4/63,25,312,370,178,33,40
hellff,S8UL,,394,0.88,172.1,0.89,72%,108.9,0.62,0.27,0.09,0.08,30%,18%,9/51,17,243,272,106,35,33
acrian,AMB,,673,0.88,163.7,0.82,72%,113.0,0.57,0.36,0.05,0.07,26%,14%,10/71,23,386,470,245,31,47
nekky,ULF,,653,0.88,169.8,0.87,68%,114.6,0.60,0.21,0.06,0.10,27%,15%,12/80,23,390,449,139,42,65
Boo,TH,,372,0.88,157.1,0.81,72%,97.9,0.53,0.40,0.08,0.06,34%,8%,4/52,19,198,244,149,30,24
k1Ng,NBL,,297,0.88,171.2,0.83,66%,113.1,0.59,0.32,0.04,0.08,26%,13%,4/32,21,175,210,94,12,23
lleana,FSC,,445,0.88,220.0,0.91,68%,147.3,0.75,0.19,0.20,0.17,34%,6%,1/17,24,332,366,83,89,76
brock,KTS,,253,0.88,169.8,0.80,73%,103.0,0.59,0.36,0.06,0.07,21%,10%,4/40,19,149,187,91,16,17
H4Yu,UR.GC,,262,0.88,191.8,0.82,69%,123.6,0.65,0.43,0.07,0.08,23%,15%,5/34,22,170,208,112,19,20
allie,2G.GC,,246,0.88,172.3,0.85,70%,110.8,0.62,0.33,0.03,0.07,30%,23%,6/26,18,152,179,81,8,17
magic,PRS,,417,0.88,206.3,0.89,64%,131.5,0.74,0.14,0.18,0.16,31%,3%,1/34,26,308,345,59,75,67
raafa,DIRE,,250,0.88,162.3,0.84,72%,105.8,0.56,0.36,0.06,0.08,21%,3%,1/33,19,139,166,91,16,20
Qunu,Team,,285,0.88,158.5,0.81,71%,107.5,0.55,0.27,0.05,0.05,23%,17%,8/48,18,157,194,78,14,15
C1ndeR,SLT,,306,0.88,172.5,0.87,72%,111.2,0.61,0.34,0.06,0.09,25%,19%,7/37,21,186,215,105,18,28
bless,Ace,,567,0.88,177.5,0.88,66%,117.3,0.65,0.24,0.10,0.12,35%,13%,6/45,28,369,421,136,54,67
Krysme,SCCP.IN,,202,0.88,187.8,0.88,65%,129.1,0.67,0.20,0.08,0.11,33%,,0/24,23,135,153,40,17,23
Terrox,NXT,,319,0.88,175.5,0.87,63%,123.8,0.63,0.16,0.05,0.10,27%,12%,5/41,25,201,230,51,17,32
Sobaan,,,264,0.88,186.6,0.78,64%,123.5,0.64,0.29,0.09,0.09,27%,10%,4/41,17,168,215,77,24,23
SUAVE,,,215,0.88,177.4,0.83,65%,121.9,0.61,0.27,0.06,0.07,29%,18%,6/33,21,131,157,57,12,16
C0M,LEV,,371,0.88,173.6,0.85,73%,116.8,0.58,0.30,0.07,0.07,24%,9%,4/43,21,217,255,113,25,27
Magneto,BAAM,,302,0.87,173.4,0.81,68%,116.3,0.61,0.32,0.08,0.10,32%,27%,9/33,24,183,227,96,25,31
yelz,TWIS.O,,258,0.87,177.1,0.81,69%,120.0,0.62,0.35,0.09,0.11,29%,23%,6/26,20,161,199,90,23,29
ZukØ,Boom,,387,0.87,173.2,0.76,74%,115.1,0.58,0.47,0.05,0.08,16%,12%,6/49,23,225,298,182,19,31
Big Tonka T,The,,475,0.87,175.0,0.84,65%,121.3,0.60,0.19,0.07,0.10,27%,7%,4/58,20,284,339,92,32,47
zeka,Bing,,403,0.87,191.4,0.85,64%,130.8,0.68,0.23,0.09,0.12,30%,18%,10/55,29,274,322,91,37,48
H4EUN,,,262,0.87,179.5,0.82,66%,120.9,0.61,0.23,0.05,0.08,24%,4%,2/49,20,161,196,61,14,22
Aniemal,Wild,,773,0.87,191.9,0.85,67%,130.7,0.66,0.23,0.08,0.08,20%,17%,19/113,26,509,601,176,64,64
Victor,CPS,,354,0.87,179.9,0.91,68%,126.8,0.64,0.18,0.15,0.12,27%,13%,5/40,26,228,251,65,52,42
joona,WADA,,467,0.87,170.5,0.89,70%,113.4,0.60,0.33,0.08,0.10,26%,17%,6/35,18,280,313,152,38,46
Zaki,NKO,,268,0.87,195.9,0.88,62%,127.4,0.72,0.13,0.15,0.17,29%,6%,2/36,25,194,220,35,40,46
neto,FVN,,296,0.87,199.7,0.84,63%,129.1,0.67,0.15,0.21,0.22,25%,17%,4/23,23,197,234,44,62,65
Loss,FUR,,228,0.87,202.8,0.88,61%,130.0,0.71,0.15,0.16,0.27,31%,17%,2/12,22,162,185,34,37,62
Mikelelle,EK,,278,0.87,161.8,0.84,71%,108.1,0.56,0.46,0.04,0.12,25%,22%,5/23,22,156,185,128,12,33
UR,RIG.L,,235,0.87,201.4,0.85,65%,135.0,0.70,0.23,0.11,0.16,22%,15%,3/20,26,164,192,55,26,37
deigara,ZEN,,431,0.87,166.3,0.81,69%,113.5,0.59,0.35,0.07,0.08,33%,16%,7/44,19,254,315,151,30,35
grok,Mini,,202,0.87,171.6,0.78,64%,90.8,0.61,0.31,0.09,0.07,22%,14%,4/28,20,124,159,63,18,15
Smurfette,GX.GC,,888,0.87,198.4,0.93,69%,127.5,0.70,0.16,0.19,0.18,29%,17%,7/41,27,622,667,138,165,159
siNgg,PSE.GC,,318,0.87,186.6,0.78,64%,129.3,0.65,0.22,0.08,0.09,29%,8%,4/48,23,207,264,71,24,30
Makaveli,DXE,,230,0.87,170.2,0.78,63%,114.4,0.58,0.23,0.08,0.07,30%,21%,7/33,23,134,171,52,19,17
Kohliii,DXE,,230,0.87,165.1,0.74,69%,116.1,0.56,0.25,0.05,0.06,26%,3%,1/37,22,128,173,57,11,14
Rebo,Tuff,,473,0.87,165.6,0.83,65%,108.4,0.59,0.29,0.07,0.12,26%,16%,13/80,25,277,333,136,34,57
Pr0digy,TS.AC,,308,0.87,211.6,0.92,67%,135.1,0.75,0.17,0.20,0.20,29%,18%,3/17,29,230,249,53,61,62
Long,LNF,,465,0.87,163.5,0.76,73%,106.2,0.55,0.52,0.06,0.09,20%,8%,5/59,20,255,336,240,29,40
DrealeXJ,NYX,,222,0.87,197.6,0.83,65%,115.2,0.68,0.21,0.11,0.11,33%,18%,7/38,23,150,180,46,24,24
tex,LEV,,371,0.87,180.3,0.89,68%,121.0,0.63,0.18,0.11,0.13,33%,15%,8/52,23,235,264,68,39,47
disisjohn,SGE,,295,0.87,202.7,0.88,66%,127.9,0.68,0.21,0.13,0.23,22%,14%,2/14,23,200,227,61,39,67
yhury,,,231,0.87,163.7,0.81,67%,115.8,0.59,0.24,0.04,0.05,23%,19%,8/43,23,137,170,56,10,12
Cintyx,AXL,,447,0.87,163.4,0.86,72%,112.5,0.60,0.21,0.03,0.07,26%,10%,5/50,27,266,308,92,12,33
YaBoiLewis,FKS,,460,0.87,169.8,0.86,68%,112.7,0.59,0.23,0.08,0.08,33%,15%,6/40,20,272,316,104,37,36
Zodiac,,,235,0.86,190.5,0.87,69%,128.3,0.67,0.24,0.14,0.19,22%,18%,3/17,24,158,182,57,34,45
Izuki,Stal,,460,0.86,165.1,0.80,67%,87.8,0.59,0.33,0.04,0.10,31%,7%,5/72,25,273,343,151,18,48
Fire,OWO,,202,0.86,195.1,0.81,65%,132.4,0.65,0.18,0.10,0.12,25%,10%,3/29,18,131,161,37,20,24
ExpiredNuts,,,526,0.86,206.5,0.85,63%,137.9,0.71,0.22,0.15,0.21,25%,18%,7/40,28,374,442,116,81,108
CarmenG7,NKO,,268,0.86,172.2,0.76,68%,112.7,0.61,0.28,0.03,0.07,28%,7%,4/56,22,163,214,75,8,19
Antidote,RNTX,,277,0.86,149.3,0.80,73%,97.1,0.53,0.31,0.07,0.07,20%,9%,3/34,18,146,183,86,20,19
Matt,ROSE,,652,0.86,172.1,0.79,69%,114.5,0.58,0.33,0.07,0.10,21%,15%,15/101,24,379,482,218,44,64
LSR,PXL,,266,0.86,170.3,0.86,70%,113.4,0.60,0.22,0.11,0.05,26%,8%,2/25,21,159,185,59,28,14
snappypikachu69,,,282,0.86,165.5,0.71,62%,117.9,0.57,0.32,0.04,0.07,25%,17%,9/52,25,160,226,89,10,20
Demi,MORI,,258,0.86,205.1,0.84,60%,135.3,0.69,0.25,0.12,0.10,27%,8%,2/26,24,178,211,64,30,27
NaturE,EG,,389,0.86,171.0,0.80,72%,114.1,0.58,0.41,0.06,0.07,23%,29%,10/35,25,225,280,161,25,26
Ambi,CGN,,384,0.86,162.7,0.79,73%,103.4,0.53,0.45,0.05,0.08,20%,9%,4/46,24,205,260,173,18,30
avien,CVU,,257,0.86,191.2,0.82,64%,129.1,0.66,0.22,0.09,0.14,26%,13%,6/45,24,169,207,57,24,36
Kheops,GNG,,229,0.86,177.1,0.85,69%,117.2,0.63,0.21,0.09,0.09,28%,6%,2/31,17,145,171,47,20,20
Art,KTS,,253,0.86,164.3,0.81,66%,104.1,0.58,0.18,0.04,0.08,25%,7%,3/44,20,147,181,46,10,19
mimier,HVND,,587,0.86,171.6,0.79,72%,115.3,0.58,0.42,0.05,0.06,24%,5%,3/58,20,342,431,249,28,37
Mochi,NOVO.NI,,204,0.86,172.8,0.80,64%,115.2,0.60,0.22,0.10,0.08,31%,9%,3/33,22,123,154,45,21,16
Spocki,Bloo,,319,0.86,178.6,0.82,69%,117.8,0.62,0.34,0.09,0.10,31%,12%,4/34,27,198,242,107,30,31
Saikiwi,UW.GC,,437,0.86,169.0,0.80,68%,114.5,0.60,0.38,0.09,0.11,37%,11%,4/35,27,264,332,166,39,48
puffy panda,ROSE,,210,0.86,166.4,0.82,66%,115.6,0.61,0.22,0.09,0.09,28%,25%,7/28,24,129,157,47,19,18
thief,YFP,,464,0.86,178.2,0.89,72%,118.6,0.62,0.25,0.08,0.09,23%,7%,3/46,19,288,325,116,36,41
gucc107,WVU,,337,0.86,178.9,0.76,68%,114.2,0.59,0.41,0.07,0.11,21%,10%,4/40,18,199,261,139,24,38
azul,ZEN.GC,,275,0.85,170.5,0.79,72%,109.4,0.60,0.44,0.04,0.07,34%,5%,2/37,21,164,208,122,12,20
pika,MKF,,582,0.85,168.4,0.81,70%,114.9,0.57,0.27,0.08,0.08,27%,8%,5/59,21,334,412,157,46,44
Elixllo,TU,,758,0.85,164.9,0.87,66%,112.7,0.60,0.17,0.06,0.07,30%,7%,7/107,22,454,520,129,44,54
Psych,CCG,,288,0.85,198.2,0.83,66%,131.1,0.70,0.19,0.17,0.21,27%,9%,2/22,25,202,242,55,48,60
Lynn,UW.GC,,437,0.85,165.3,0.84,67%,114.8,0.58,0.22,0.05,0.08,29%,7%,4/57,19,255,305,98,23,36
FADE IS HOT,,,503,0.85,180.4,0.76,67%,118.0,0.61,0.36,0.07,0.10,25%,14%,10/71,30,309,405,181,36,51
ease,KCBS,,300,0.85,150.1,0.77,69%,98.9,0.52,0.37,0.05,0.07,28%,17%,5/30,22,156,203,112,16,20
R4M,DRX.CH,,236,0.85,169.1,0.77,62%,109.5,0.57,0.37,0.08,0.10,24%,10%,3/29,25,135,176,88,18,23
Tayo,,,202,0.85,204.5,0.84,56%,140.6,0.71,0.14,0.18,0.21,26%,16%,3/19,29,143,171,28,37,43
bearkun,ROSE,,326,0.85,174.1,0.81,68%,111.8,0.60,0.30,0.07,0.06,21%,8%,4/50,23,196,243,97,22,20
monSi,SRB,,354,0.85,150.3,0.73,72%,95.9,0.49,0.47,0.05,0.07,28%,7%,3/46,20,175,241,168,18,24
philly,BFG,,221,0.85,163.8,0.83,68%,94.3,0.59,0.33,0.07,0.06,27%,10%,2/21,19,130,157,74,16,13
Papi,GEXP,,211,0.85,162.6,0.81,75%,102.4,0.56,0.41,0.07,0.09,22%,18%,4/22,21,119,147,87,13,16
ibonata,FB,,362,0.85,153.1,0.78,69%,100.5,0.52,0.35,0.07,0.08,20%,5%,2/38,19,188,240,126,26,28
Fluffie,CNE.GC,,470,0.85,184.5,0.82,66%,119.1,0.63,0.29,0.07,0.09,30%,13%,6/47,22,296,363,134,32,42
ginger,ATNR,,296,0.85,177.7,0.87,65%,119.2,0.65,0.19,0.07,0.11,26%,3%,1/38,27,193,223,56,22,33
Teague,L11,,338,0.85,163.6,0.80,66%,104.4,0.57,0.28,0.04,0.09,25%,14%,6/42,17,194,241,95,14,29
Carnage,CC P,,206,0.85,190.4,0.87,60%,130.2,0.69,0.11,0.10,0.14,32%,8%,1/13,23,143,164,23,21,29
ITaoEartH,,,396,0.85,169.0,0.80,70%,110.1,0.58,0.30,0.07,0.09,28%,11%,4/37,16,229,288,120,28,36
Hermes,BFX,,274,0.85,190.8,0.87,66%,123.5,0.66,0.19,0.14,0.18,19%,25%,5/20,24,181,208,53,38,50
DeepMans,S2G,,423,0.85,184.0,0.86,67%,113.3,0.63,0.20,0.11,0.10,34%,10%,5/48,24,267,312,85,46,41
msh,Z10,,584,0.85,162.8,0.87,64%,114.1,0.61,0.15,0.05,0.09,35%,18%,13/73,33,354,407,90,32,54
grubinho,GX,,224,0.85,170.5,0.75,70%,109.0,0.59,0.43,0.06,0.10,27%,3%,1/35,22,133,178,97,13,22
mediKa,TWIS.O,,479,0.85,148.0,0.74,73%,96.4,0.51,0.47,0.05,0.07,24%,16%,7/44,19,242,329,227,25,32
iansn,Astr,,392,0.85,168.3,0.80,71%,116.5,0.60,0.31,0.05,0.07,34%,19%,7/36,29,234,293,121,21,27
patip,BCK,,208,0.85,157.1,0.76,74%,110.7,0.54,0.32,0.05,0.07,30%,8%,3/39,18,113,149,67,10,14
Merununtius,MTR,,359,0.85,178.4,0.81,67%,116.7,0.62,0.37,0.05,0.09,25%,18%,7/38,22,221,273,132,19,32
Izo,F5 E,,478,0.84,158.0,0.76,70%,107.2,0.55,0.33,0.04,0.09,32%,14%,8/57,22,265,350,158,20,44
Andrehs,MVR.GC,,221,0.84,161.7,0.80,65%,110.4,0.57,0.27,0.06,0.08,25%,13%,3/23,21,126,157,59,13,18
mamamamoodengๆๆ,,,276,0.84,193.5,0.85,67%,128.1,0.69,0.18,0.09,0.12,26%,12%,6/50,20,190,223,50,25,33
pAura,S2G,,214,0.84,169.7,0.87,65%,112.8,0.61,0.22,0.14,0.14,35%,17%,3/18,24,131,151,48,29,31
pumpkins,,,276,0.84,175.1,0.82,70%,116.2,0.63,0.32,0.07,0.10,38%,12%,3/25,23,175,214,89,19,27
ianto,TSE,,324,0.84,166.4,0.77,65%,121.6,0.57,0.26,0.07,0.10,24%,21%,8/39,33,185,239,84,24,32
xeus,EF,,531,0.84,205.0,0.94,64%,128.8,0.74,0.14,0.17,0.18,40%,3%,1/34,24,394,420,75,85,90
gon,Neme,,226,0.84,181.2,0.74,65%,126.3,0.59,0.25,0.05,0.09,28%,6%,2/32,22,134,181,56,12,20
semik,BZK,,216,0.84,189.1,0.81,65%,129.6,0.68,0.21,0.11,0.15,35%,7%,2/30,30,147,182,45,23,33
Cfax,Ace,,439,0.84,159.2,0.76,71%,98.5,0.55,0.34,0.05,0.07,25%,16%,8/50,19,243,319,150,24,32
Sigmundr,FOCU,,216,0.84,176.8,0.86,65%,117.4,0.63,0.23,0.12,0.08,10%,24%,5/21,17,135,157,49,25,18
ivy,GOLD,,267,0.84,186.8,0.79,59%,128.6,0.67,0.17,0.12,0.15,28%,15%,4/26,26,178,224,45,33,41
Obnoks,MOUZ,,300,0.84,170.1,0.82,67%,109.1,0.60,0.32,0.09,0.08,29%,10%,2/21,22,180,220,96,27,24
exile,YDZ,,284,0.84,173.9,0.77,62%,112.4,0.62,0.21,0.06,0.05,34%,9%,5/57,18,177,230,61,18,15
silentzz,2G,,276,0.84,187.2,0.82,64%,129.5,0.66,0.18,0.09,0.10,34%,14%,5/35,29,181,222,51,24,28
htm,HVND,,577,0.84,146.3,0.74,71%,93.0,0.50,0.40,0.03,0.06,31%,11%,8/74,20,287,389,232,20,32
jake,CSP,,217,0.84,197.7,0.79,64%,127.8,0.64,0.24,0.12,0.14,29%,10%,2/21,24,139,175,51,27,30
HUYNH,FCN,,951,0.84,163.8,0.77,71%,108.9,0.56,0.37,0.06,0.08,20%,14%,15/111,25,534,692,353,61,78
tdawgg,CUBE,,504,0.84,160.8,0.76,71%,106.7,0.53,0.36,0.06,0.09,21%,10%,5/50,18,265,347,182,30,47
riv,BNG,,622,0.84,174.1,0.82,66%,113.7,0.60,0.21,0.08,0.10,27%,17%,13/76,26,375,459,133,48,62
Mason143,Keis,,423,0.83,173.5,0.80,62%,116.7,0.62,0.21,0.10,0.13,27%,5%,3/55,22,262,328,90,41,55
adl,KNN,,257,0.83,194.3,0.83,65%,124.2,0.64,0.18,0.19,0.21,15%,7%,1/15,22,165,200,47,48,54
mFH,THNK,,245,0.83,152.4,0.78,65%,101.5,0.56,0.25,0.08,0.06,25%,14%,6/44,18,136,174,62,19,14
Lethal,Keis,,423,0.83,197.3,0.81,60%,127.0,0.65,0.17,0.15,0.16,26%,15%,7/48,31,277,344,72,62,67
Angle,Ukiy,,209,0.83,163.0,0.70,67%,104.9,0.54,0.37,0.03,0.07,20%,15%,6/41,17,113,161,77,6,15
Kyzer,,,225,0.83,177.3,0.79,64%,119.5,0.60,0.19,0.06,0.08,29%,10%,4/41,21,136,173,42,14,18
Sekkya,SaD,,352,0.83,153.3,0.78,66%,99.7,0.55,0.30,0.03,0.05,27%,13%,8/63,20,193,248,107,11,17
Famouz,BME,,256,0.83,184.6,0.89,64%,122.1,0.67,0.17,0.15,0.19,25%,11%,2/18,25,171,192,44,38,49
ALEKSANDAR,CUR,,218,0.83,176.0,0.82,71%,111.8,0.59,0.36,0.04,0.11,40%,21%,4/19,18,129,157,78,8,23
Toskri,Astr,,348,0.83,177.5,0.76,65%,126.2,0.59,0.25,0.07,0.09,29%,12%,3/25,25,206,270,88,25,33
Terra,GNG,,229,0.83,180.8,0.84,69%,115.7,0.65,0.23,0.10,0.12,25%,5%,1/22,31,149,177,52,22,28
waleed,TWIS,,379,0.83,159.3,0.80,72%,110.6,0.56,0.26,0.05,0.07,31%,17%,6/36,26,212,264,99,18,28
Aru,ONG,,384,0.83,170.6,0.76,68%,114.6,0.58,0.30,0.08,0.12,32%,14%,5/35,28,224,293,115,32,47
squirmor,Over,,247,0.83,165.6,0.73,60%,115.2,0.57,0.29,0.04,0.13,26%,20%,9/45,20,140,193,71,11,31
BuZz,T1,,246,0.83,205.5,0.89,62%,128.5,0.70,0.15,0.15,0.18,26%,,0/19,24,172,194,36,36,45
kasper,RAF,,324,0.83,169.7,0.77,64%,93.2,0.60,0.30,0.05,0.09,36%,9%,4/43,20,196,253,97,16,30
mizu,FVN,,296,0.83,172.9,0.84,59%,114.4,0.64,0.13,0.09,0.08,45%,11%,5/46,28,189,226,37,28,24
Stwz1,IMP,,295,0.83,174.4,0.76,67%,115.1,0.59,0.41,0.04,0.07,32%,3%,1/29,23,174,228,120,12,21
murizzz,SHI,,351,0.83,164.4,0.81,66%,107.8,0.59,0.25,0.04,0.09,28%,10%,5/48,25,206,254,88,15,31
Boaster,FNC,,726,0.83,146.8,0.78,72%,96.4,0.49,0.34,0.07,0.09,25%,16%,10/64,21,357,457,245,52,67
Jawsy,RNP,,215,0.82,167.9,0.75,69%,120.5,0.59,0.37,0.08,0.08,32%,11%,2/19,21,126,169,79,17,18
snw,SHI,,351,0.82,186.3,0.87,62%,123.3,0.66,0.13,0.19,0.23,22%,4%,1/25,24,231,267,46,65,82
Psilence,NBL,,361,0.82,206.9,0.87,64%,133.1,0.69,0.18,0.20,0.22,23%,12%,2/17,25,250,288,64,71,79
Alu,LR,,387,0.82,194.6,0.83,63%,125.6,0.69,0.18,0.15,0.21,27%,9%,3/34,28,266,320,69,59,82
MattyIce,Bing,,543,0.82,200.2,0.78,64%,133.6,0.66,0.20,0.14,0.18,28%,9%,4/44,26,356,456,106,78,100
blu,2G.GC,,246,0.82,155.3,0.77,61%,105.7,0.54,0.18,0.08,0.11,30%,9%,3/35,23,134,174,45,20,26
adverso,KRÜ,,534,0.82,164.5,0.78,70%,110.0,0.55,0.26,0.07,0.11,19%,14%,7/51,19,295,377,140,36,58
