Player,Team,Agents,RND,Rating,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,Clutches,KMax,K,D,A,FK,FD
eZo,TNX,,339,0.94,183.3,0.96,70%,116.4,0.65,0.35,0.06,0.07,24%,19%,8/43,22,221,231,117,20,25
tuyz,FUR,,329,0.94,163.0,0.86,71%,107.6,0.58,0.36,0.05,0.04,32%,14%,8/59,33,192,224,119,15,14
ruso,TXR,,206,0.94,219.7,0.96,68%,141.1,0.79,0.17,0.17,0.18,23%,15%,3/20,24,162,168,35,36,37
Keks u,womb,,335,0.94,191.7,0.91,71%,126.5,0.66,0.30,0.11,0.07,32%,29%,10/34,28,221,242,101,38,24
Pain,IluZ,,351,0.94,197.1,0.95,68%,129.8,0.68,0.13,0.11,0.11,39%,10%,6/62,21,238,251,47,39,39
Tim,LGCY,,919,0.93,192.9,0.86,70%,123.4,0.65,0.42,0.10,0.13,20%,15%,12/82,26,596,695,382,93,118
Cloudy,GGA,,239,0.93,181.8,0.84,69%,108.0,0.61,0.36,0.04,0.10,26%,24%,5/21,22,146,173,85,10,23
Lysoar,WOL,,573,0.93,173.8,0.85,73%,119.6,0.61,0.31,0.08,0.06,28%,13%,5/38,23,348,411,178,42,30
Serial,TL,,647,0.93,175.3,0.90,71%,117.4,0.61,0.25,0.07,0.08,38%,16%,14/85,20,394,438,159,48,50
Titan,NBL,,384,0.93,200.8,0.96,65%,129.5,0.73,0.21,0.11,0.13,29%,11%,5/44,24,279,292,79,43,50
Thuy,ZER.M,,510,0.93,179.0,0.87,68%,117.5,0.64,0.34,0.07,0.09,26%,8%,6/71,24,327,375,171,35,47
n1zzy,TS,,438,0.93,177.0,0.90,71%,119.4,0.63,0.29,0.07,0.07,33%,13%,7/53,22,276,307,126,30,28
xelouz,RAF,,501,0.93,185.4,0.86,69%,113.3,0.65,0.33,0.05,0.06,30%,20%,15/76,22,325,376,167,26,32
Koji,Stal,,517,0.93,204.5,0.97,65%,105.9,0.74,0.19,0.13,0.10,38%,6%,3/52,45,382,394,97,65,51
Ev0,CC,,206,0.93,189.5,0.90,66%,127.4,0.68,0.28,0.07,0.06,29%,20%,5/25,22,141,157,57,14,13
Viva,XLG,,384,0.93,168.9,0.80,69%,117.3,0.55,0.32,0.04,0.06,25%,,0/16,19,212,264,122,12,17
Gnadel,GGA,,239,0.93,175.1,0.91,67%,112.1,0.64,0.17,0.10,0.08,31%,12%,6/49,22,154,169,41,23,19
toxik,MSU,,402,0.93,189.8,0.86,66%,127.9,0.65,0.28,0.06,0.09,23%,19%,11/57,20,260,302,111,25,35
s0pp,ULF,,653,0.93,203.0,0.95,67%,130.2,0.71,0.17,0.14,0.17,22%,9%,5/57,29,464,489,112,93,113
Abde,Tedw,,639,0.93,188.6,0.92,69%,121.1,0.66,0.23,0.07,0.09,20%,11%,10/94,21,422,458,144,44,59
iluri,MOUZ,,300,0.93,168.3,0.84,74%,107.7,0.59,0.38,0.06,0.06,36%,27%,8/30,19,176,210,113,17,19
Naifma7,NBL,,384,0.93,176.9,0.88,70%,123.0,0.64,0.24,0.08,0.05,30%,7%,4/54,27,245,277,94,29,20
zekei,FUN,,546,0.93,195.7,0.92,67%,129.0,0.68,0.25,0.13,0.14,23%,8%,3/39,24,374,406,134,73,76
ting2k5,FPT,,222,0.93,199.4,0.92,65%,117.1,0.70,0.17,0.09,0.13,29%,14%,3/21,24,156,169,37,20,28
Melser,KRÜ,,534,0.93,171.6,0.92,73%,113.5,0.62,0.29,0.07,0.09,29%,19%,15/79,21,332,361,155,37,49
Killua,TLN,,305,0.93,177.6,0.87,69%,123.2,0.62,0.25,0.08,0.07,35%,8%,3/40,19,190,218,77,24,20
Arin,CNE.GC,,287,0.93,189.7,0.89,61%,130.9,0.65,0.18,0.11,0.09,27%,9%,5/54,22,186,209,53,32,25
xenom,MIBR,,602,0.93,171.6,0.95,69%,116.2,0.63,0.27,0.05,0.09,33%,13%,10/76,21,382,402,160,31,54
Tony,,,221,0.93,176.8,0.93,66%,102.7,0.63,0.24,0.05,0.11,27%,9%,3/33,18,140,151,54,10,24
hiro,NAVI,,311,0.93,189.4,0.99,68%,129.1,0.70,0.19,0.06,0.10,27%,14%,4/29,31,219,222,58,20,31
iyen,HU,,234,0.93,197.1,0.95,64%,123.6,0.67,0.20,0.07,0.12,23%,23%,5/22,20,156,164,46,16,28
Clewy,PHX,,509,0.93,179.3,0.89,67%,121.7,0.64,0.20,0.07,0.06,30%,11%,10/88,27,327,367,101,35,32
Jow,6K,,267,0.93,179.0,0.98,67%,121.8,0.64,0.19,0.09,0.11,35%,19%,7/36,19,172,176,52,25,30
Karin,,,276,0.93,192.8,0.88,66%,122.5,0.65,0.28,0.11,0.12,18%,14%,3/21,20,180,204,77,29,32
RiceballiNNN,BKR,,524,0.93,189.9,0.85,70%,130.7,0.64,0.30,0.09,0.08,25%,10%,9/92,24,336,395,156,45,44
maripo,RIG.L,,235,0.93,181.3,0.90,65%,121.5,0.66,0.23,0.03,0.09,23%,15%,6/40,20,155,173,54,7,20
Kawaii,BOBO,,312,0.93,205.8,0.98,65%,133.4,0.73,0.21,0.15,0.21,23%,41%,7/17,21,228,233,67,46,66
Pyro,RR,,1102,0.93,192.1,0.88,71%,133.1,0.66,0.31,0.08,0.07,20%,8%,10/124,28,727,822,345,87,82
ALMO,PXL,,292,0.93,178.8,0.87,70%,120.7,0.62,0.38,0.07,0.11,31%,6%,2/34,22,180,208,111,21,32
nova,YDZ.GC,,230,0.93,205.4,0.94,66%,115.3,0.71,0.21,0.13,0.15,35%,9%,2/23,23,164,174,49,29,34
L4CE,FLY,,558,0.93,191.6,0.92,70%,126.9,0.69,0.19,0.08,0.11,32%,15%,11/75,22,383,416,108,46,63
capriciouS,XIP.GC,,382,0.92,176.0,0.91,72%,116.5,0.61,0.27,0.05,0.10,42%,19%,8/43,19,234,256,102,20,38
