match_id,event_name,event_stage,match_date,patch,team_a,team_b,team_a_score,team_b_score,map_name,map_score_a,map_score_b,winner
510153,VCT Masters: Copenhagen,Playoffs: Semifinals,"Saturday, July 12th",Patch 11.0,FNATIC,Paper Rex,2,1,Sunset,10,13,Paper Rex
510153,VCT Masters: Copenhagen,Playoffs: Semifinals,"Saturday, July 12th",Patch 11.0,FNATIC,Paper Rex,2,1,Ascent,13,3,FNATIC
510153,VCT Masters: Copenhagen,Playoffs: Semifinals,"Saturday, July 12th",Patch 11.0,FNATIC,Paper Rex,2,1,Split,13,8,FNATIC
