match_id,map_name,team_a,team_b,team_a_win,best_of,event_stage,match_date,acs_diff,kills_diff,deaths_diff,assists_diff
114528,Haven,DarkZero Esports,Akrew,0,Bo3,Playoffs: Semifinals,2022-07-13,-17.19999999999999,-9.0,9.0,-12.0
114528,Icebox,DarkZero Esports,Akrew,0,Bo3,Playoffs: Semifinals,2022-07-13,-15.0,-11.0,11.0,-14.0
114529,Icebox,Resonate,Knights,1,Bo3,Playoffs: Semifinals,2022-07-13,44.400000000000006,24.0,-25.0,8.0
114529,Fracture,Resonate,Knights,0,Bo3,Playoffs: Semifinals,2022-07-13,-74.19999999999999,-28.0,28.0,-4.0
114529,Ascent,Resonate,Knights,0,Bo3,Playoffs: Semifinals,2022-07-13,-2.0,2.0,-2.0,-5.0
11453,Haven,Demon Time,Knights,0,Bo3,Qualifier: Round of 16,2021-02-26,-72.79999999999998,-30.0,30.0,3.0
11453,Ascent,Demon Time,Knights,1,Bo3,Qualifier: Round of 16,2021-02-26,-7.0,4.0,-4.0,-6.0
11453,Split,Demon Time,Knights,1,Bo3,Qualifier: Round of 16,2021-02-26,40.400000000000006,17.0,-17.0,4.0
114530,Fracture,Akrew,Knights,0,Bo3,Playoffs: Grand Final,2022-07-13,-31.0,-15.0,15.0,2.0
114530,Haven,Akrew,Knights,1,Bo3,Playoffs: Grand Final,2022-07-13,22.19999999999999,12.0,-12.0,21.0
114530,Icebox,Akrew,Knights,0,Bo3,Playoffs: Grand Final,2022-07-13,-13.199999999999989,-9.0,9.0,15.0
11454,Icebox,NRG,On The Way,0,Bo3,Qualifier: Round of 16,2021-02-26,8.200000000000017,0.0,0.0,-7.0
11454,Haven,NRG,On The Way,1,Bo3,Qualifier: Round of 16,2021-02-26,94.4,35.0,-34.0,9.0
11454,Bind,NRG,On The Way,1,Bo3,Qualifier: Round of 16,2021-02-26,81.0,27.0,-27.0,10.0
11455,Ascent,T1,Frick Ya Bag,1,Bo3,Qualifier: Round of 16,2021-02-26,151.59999999999997,46.0,-46.0,20.0
11455,Haven,T1,Frick Ya Bag,1,Bo3,Qualifier: Round of 16,2021-02-26,119.0,41.0,-41.0,9.0
11456,Haven,Cloud9,Ghost Gaming,0,Bo3,Qualifier: Round of 16,2021-02-26,-68.0,-28.0,28.0,-8.0
11456,Ascent,Cloud9,Ghost Gaming,1,Bo3,Qualifier: Round of 16,2021-02-26,58.599999999999994,26.0,-26.0,3.0
11456,Split,Cloud9,Ghost Gaming,1,Bo3,Qualifier: Round of 16,2021-02-26,10.399999999999977,7.0,-7.0,3.0
11457,Bind,Renegades,beastcoast,1,Bo3,Qualifier: Round of 16,2021-02-26,15.199999999999989,9.0,-8.0,-5.0
11457,Haven,Renegades,beastcoast,0,Bo3,Qualifier: Round of 16,2021-02-26,-6.0,-5.0,5.0,-6.0
11457,Ascent,Renegades,beastcoast,0,Bo3,Qualifier: Round of 16,2021-02-26,-21.80000000000001,-9.0,9.0,-5.0
11458,Bind,Built By Gamers,DaHoonkaBhanKoloos(Kooky Koalas ),0,Bo3,Qualifier: Round of 16,2021-02-26,3.8000000000000114,0.0,0.0,8.0
11458,Ascent,Built By Gamers,DaHoonkaBhanKoloos(Kooky Koalas ),0,Bo3,Qualifier: Round of 16,2021-02-26,-88.19999999999999,-30.0,30.0,-19.0
11459,Icebox,TSM,Version1,1,Bo3,Qualifier: Quarterfinals,2021-02-27,47.20000000000002,20.0,-20.0,6.0
11459,Ascent,TSM,Version1,1,Bo3,Qualifier: Quarterfinals,2021-02-27,-6.599999999999994,-6.0,6.0,-25.0
1146,Ascent,Spot Up,Team Underrated,0,Bo3,#8: Qualification,2020-07-14,-30.5,-12.0,15.0,1.0
11460,Split,Demon Time,NRG,0,Bo3,Qualifier: Quarterfinals,2021-02-27,-7.599999999999994,-3.0,3.0,-3.0
11460,Haven,Demon Time,NRG,0,Bo3,Qualifier: Quarterfinals,2021-02-27,-87.39999999999998,-30.0,30.0,-15.0
11461,Icebox,T1,Cloud9,1,Bo3,Qualifier: Quarterfinals,2021-02-28,22.80000000000001,16.0,-16.0,15.0
11461,Ascent,T1,Cloud9,1,Bo3,Qualifier: Quarterfinals,2021-02-28,11.400000000000006,7.0,-7.0,7.0
11462,Ascent,beastcoast,DaHoonkaBhanKoloos(Kooky Koalas ),0,Bo3,Qualifier: Quarterfinals,2021-02-28,-47.0,-20.0,19.0,0.0
11462,Icebox,beastcoast,DaHoonkaBhanKoloos(Kooky Koalas ),1,Bo3,Qualifier: Quarterfinals,2021-02-28,6.0,0.0,0.0,13.0
11462,Bind,beastcoast,DaHoonkaBhanKoloos(Kooky Koalas ),0,Bo3,Qualifier: Quarterfinals,2021-02-28,-42.79999999999998,-19.0,19.0,-12.0
11465,Bind,Luminosity,Kooky Koalas,1,Bo3,Main Event: Upper Quarterfinals,2021-03-04,56.79999999999998,25.0,-25.0,5.0
11465,Icebox,Luminosity,Kooky Koalas,1,Bo3,Main Event: Upper Quarterfinals,2021-03-04,65.20000000000002,27.0,-27.0,1.0
11466,Bind,Gen.G,TSM,0,Bo3,Main Event: Upper Quarterfinals,2021-03-04,-50.0,-24.0,24.0,3.0
11466,Ascent,Gen.G,TSM,0,Bo3,Main Event: Upper Quarterfinals,2021-03-04,-26.400000000000006,-12.0,12.0,-10.0
