iter	Logloss
0	0.6917393888
1	0.6903843916
2	0.689113217
3	0.6878626863
4	0.6866678904
5	0.6855109856
6	0.6843811657
7	0.6833519623
8	0.682340458
9	0.6813243702
10	0.6803661013
11	0.6794668676
12	0.6786340555
13	0.6778065302
14	0.6770151839
15	0.6762669958
16	0.6755487064
17	0.674829415
18	0.6741451145
19	0.6734967556
20	0.6728595905
21	0.6722530595
22	0.671729414
23	0.6711612088
24	0.6706500691
25	0.6701057878
26	0.6696144041
27	0.6691082768
28	0.6686620876
29	0.668206803
30	0.6677584173
31	0.6673383645
32	0.6669545842
33	0.666571688
34	0.666175272
35	0.6658078546
36	0.6654644194
37	0.6651355753
38	0.6648230841
39	0.6645150137
40	0.6642158577
41	0.6639202661
42	0.6636641688
43	0.6633860394
44	0.6631360739
45	0.662889265
46	0.6626519341
47	0.6624058116
48	0.662198035
49	0.6619725069
50	0.6617643852
51	0.6615874131
52	0.6613787986
53	0.6611688338
54	0.6609902866
55	0.6608038823
56	0.6606268014
57	0.6604635115
58	0.6603079645
59	0.6601539949
60	0.6599886401
61	0.6598659162
62	0.6597255813
63	0.6596027961
64	0.6594868924
65	0.6593670955
66	0.6592532591
67	0.6591570322
68	0.659052755
69	0.6589415366
70	0.6588670431
71	0.6587542384
72	0.6586555124
73	0.6585632113
74	0.6584795583
75	0.6583878053
76	0.6583114461
77	0.65823297
78	0.6581502518
79	0.6580652292
80	0.6579852071
81	0.6579096567
82	0.6578308225
83	0.6577545343
84	0.6576838834
85	0.6576248224
86	0.6575650815
87	0.6575045396
88	0.657440764
89	0.6573787629
90	0.6573246529
91	0.6572729908
92	0.657225115
93	0.6571842624
94	0.6571285431
95	0.6570973462
96	0.6570512571
97	0.6569962549
98	0.6569566373
99	0.6568998526
100	0.6568544459
101	0.6568052882
102	0.6567631475
103	0.6567203315
104	0.6566869295
105	0.6566366846
106	0.6565869134
107	0.6565583277
108	0.6565189523
109	0.6564791896
110	0.6564327579
111	0.6564029967
112	0.6563665276
113	0.6563353907
114	0.6563012557
115	0.6562808574
116	0.6562490805
117	0.6562165635
118	0.6561835654
119	0.65616361
120	0.6561271595
121	0.6560929879
122	0.6560720517
123	0.6560457466
124	0.6560156955
125	0.655986342
126	0.6559515059
127	0.6559202851
128	0.655881651
129	0.6558517715
130	0.6558352334
131	0.6558107515
132	0.6557906842
133	0.6557620232
134	0.6557430368
135	0.6557189564
136	0.6556996034
137	0.6556754472
138	0.6556482589
139	0.6556428748
140	0.6556196602
141	0.6555912624
142	0.6555755217
143	0.65555188
144	0.6555257621
145	0.6555016211
146	0.6554726802
147	0.6554424812
148	0.6554142614
149	0.6553859135
150	0.6553708602
151	0.6553528558
152	0.6553332063
153	0.6553074008
154	0.6552775911
155	0.6552576415
156	0.6552327555
157	0.6552202387
158	0.6552026847
159	0.6551823617
160	0.6551580371
161	0.6551346644
162	0.6551099239
163	0.6551036631
164	0.655087766
165	0.655071066
166	0.6550529521
167	0.6550430254
168	0.6550196338
169	0.6550073904
170	0.6549934354
171	0.6549808236
172	0.6549767564
173	0.6549621155
174	0.6549446044
175	0.6549192247
176	0.6549042289
177	0.6548893773
178	0.6548579686
179	0.6548385221
180	0.654816628
181	0.6548011342
182	0.6547873068
183	0.6547791533
184	0.6547658784
185	0.6547551045
186	0.6547350157
187	0.6547207282
188	0.6547082245
189	0.6546953658
190	0.6546771041
191	0.6546575263
192	0.6546438248
193	0.6546342949
194	0.654621098
195	0.6546065858
196	0.654595831
197	0.6545921512
198	0.654578226
199	0.654564377
200	0.6545505964
201	0.654526973
202	0.6545090931
203	0.6544830601
204	0.6544541131
205	0.6544385835
206	0.6544291504
207	0.6544227172
208	0.6544022022
209	0.6543902925
210	0.6543800271
211	0.6543684425
212	0.6543582218
213	0.6543485695
214	0.6543417562
215	0.6543309843
216	0.6543183204
217	0.6543049829
218	0.6542870643
219	0.6542650018
220	0.6542598065
221	0.6542520185
222	0.6542285006
223	0.6542153918
224	0.6542064912
225	0.6541968631
226	0.6541862379
227	0.6541707972
228	0.6541581699
229	0.6541361645
230	0.6541325895
231	0.6541237016
232	0.6541058797
233	0.6541024944
234	0.6540968443
235	0.6540840802
236	0.6540722562
237	0.6540578128
238	0.6540437615
239	0.654035555
240	0.6540287343
241	0.6540173038
242	0.6540112767
243	0.6539984711
244	0.6539847403
245	0.6539805479
246	0.6539679044
247	0.6539614249
248	0.6539583423
249	0.6539562298
250	0.653933971
251	0.6539265666
252	0.6539140316
253	0.6539039269
254	0.6538956832
255	0.6538873624
256	0.6538794697
257	0.6538710293
258	0.6538615153
259	0.6538452511
260	0.653836218
261	0.6538194314
262	0.6538144271
263	0.6538071649
264	0.6537939577
265	0.6537740327
266	0.6537586882
267	0.653744926
268	0.6537417458
269	0.6537303268
270	0.6537141168
271	0.6537044349
272	0.6536944877
273	0.6536757035
274	0.6536558213
275	0.6536512923
276	0.6536480808
277	0.6536420459
278	0.6536342017
279	0.6536260033
280	0.6536166905
281	0.6536115027
282	0.6536049409
283	0.6535956259
284	0.6535816356
285	0.6535727428
286	0.6535698363
287	0.6535675852
288	0.6535609502
289	0.6535498662
290	0.6535462919
291	0.6535342949
292	0.6535294192
293	0.6535161962
294	0.6535050016
295	0.6534878608
296	0.6534822614
297	0.6534686248
298	0.6534616423
299	0.6534592287
300	0.6534552813
301	0.6534425911
302	0.6534267742
303	0.6534238281
304	0.6534111126
305	0.6533965535
306	0.6533802211
307	0.6533752099
308	0.6533680673
309	0.6533607098
310	0.6533555675
311	0.65333632
312	0.6533273951
313	0.6533220912
314	0.6533183007
315	0.6533079386
316	0.6532970924
317	0.6532868549
318	0.6532765746
319	0.6532607322
320	0.6532547841
321	0.6532477732
322	0.6532407955
323	0.6532385627
324	0.6532266031
325	0.6532103408
326	0.6532040554
327	0.6531953306
328	0.6531888329
329	0.6531827918
330	0.653170664
331	0.6531654294
332	0.6531572096
333	0.653147959
