match_id,map_name,team_a,team_b,team_a_win,best_of,event_stage,match_date,acs_diff,kills_diff,deaths_diff,assists_diff
184491,Lotus,Team Secret,T1,0,Bo3,League Play: Week 7,2023-05-07,-65.0,-29.0,29.0,-22.0
184491,Bind,Team Secret,T1,0,Bo3,League Play: Week 7,2023-05-07,-64.0,-29.0,29.0,-7.0
184492,Fracture,DRX,DetonatioN FocusMe,1,Bo3,League Play: Week 7,2023-05-08,7.799999999999983,5.0,-5.0,-7.0
184492,Ascent,DRX,DetonatioN FocusMe,1,Bo3,League Play: Week 7,2023-05-08,63.0,29.0,-29.0,20.0
184493,Split,Paper Rex,Gen.G,1,Bo3,League Play: Week 8,2023-05-12,21.399999999999977,12.0,-12.0,-5.0
184493,Ascent,Paper Rex,Gen.G,1,Bo3,League Play: Week 8,2023-05-12,76.0,29.0,-29.0,12.0
184494,Fracture,ZETA DIVISION,T1,0,Bo3,League Play: Week 8,2023-05-12,8.599999999999994,1.0,-1.0,0.0
184494,Lotus,ZETA DIVISION,T1,1,Bo3,League Play: Week 8,2023-05-12,-7.199999999999989,-7.0,7.0,9.0
184494,Bind,ZETA DIVISION,T1,0,Bo3,League Play: Week 8,2023-05-12,-82.80000000000001,-32.0,32.0,-11.0
184495,Haven,Team Secret,DRX,1,Bo3,League Play: Week 8,2023-05-13,24.400000000000006,11.0,-11.0,3.0
184495,Ascent,Team Secret,DRX,1,Bo3,League Play: Week 8,2023-05-13,-4.599999999999994,0.0,0.0,-1.0
184496,Lotus,Global Esports,DetonatioN FocusMe,1,Bo3,League Play: Week 8,2023-05-13,40.0,17.0,-17.0,8.0
184496,Pearl,Global Esports,DetonatioN FocusMe,1,Bo3,League Play: Week 8,2023-05-13,30.0,12.0,-12.0,2.0
184497,Split,TALON,Rex Regum Qeon,1,Bo3,League Play: Week 8,2023-05-14,55.19999999999999,24.0,-24.0,6.0
184497,Ascent,TALON,Rex Regum Qeon,0,Bo3,League Play: Week 8,2023-05-14,-43.19999999999999,-21.0,21.0,-31.0
184497,Haven,TALON,Rex Regum Qeon,0,Bo3,League Play: Week 8,2023-05-14,-41.19999999999999,-21.0,21.0,4.0
184498,Haven,ZETA DIVISION,Gen.G,1,Bo3,League Play: Week 8,2023-05-14,48.0,19.0,-19.0,17.0
184498,Ascent,ZETA DIVISION,Gen.G,0,Bo3,League Play: Week 8,2023-05-14,-57.0,-27.0,27.0,-18.0
184498,Fracture,ZETA DIVISION,Gen.G,1,Bo3,League Play: Week 8,2023-05-14,77.80000000000001,34.0,-34.0,3.0
184499,Bind,T1,DRX,0,Bo3,League Play: Week 8,2023-05-15,3.799999999999983,3.0,-3.0,-12.0
184499,Pearl,T1,DRX,0,Bo3,League Play: Week 8,2023-05-15,-4.200000000000017,-2.0,2.0,-7.0
184500,Haven,Team Secret,Global Esports,1,Bo3,League Play: Week 8,2023-05-15,28.80000000000001,18.0,-18.0,9.0
184500,Lotus,Team Secret,Global Esports,1,Bo3,League Play: Week 8,2023-05-15,7.800000000000011,14.0,-14.0,19.0
184501,Lotus,TALON,DetonatioN FocusMe,1,Bo3,League Play: Week 8,2023-05-16,-3.200000000000017,0.0,0.0,0.0
184501,Bind,TALON,DetonatioN FocusMe,1,Bo3,League Play: Week 8,2023-05-16,59.20000000000002,27.0,-27.0,4.0
184502,Bind,Rex Regum Qeon,Paper Rex,0,Bo3,League Play: Week 8,2023-05-16,-19.399999999999977,-14.0,14.0,-7.0
184502,Pearl,Rex Regum Qeon,Paper Rex,0,Bo3,League Play: Week 8,2023-05-16,-19.80000000000001,-13.0,13.0,-28.0
184514,Fracture,T1,Gen.G,1,Bo3,Playoffs: Upper Round 1,2023-05-19,23.400000000000006,14.0,-14.0,-10.0
184514,Ascent,T1,Gen.G,0,Bo3,Playoffs: Upper Round 1,2023-05-19,3.8000000000000114,-1.0,1.0,-6.0
184514,Lotus,T1,Gen.G,1,Bo3,Playoffs: Upper Round 1,2023-05-19,45.39999999999998,19.0,-19.0,2.0
184515,Haven,DRX,Team Secret,0,Bo3,Playoffs: Upper Semifinals,2023-05-20,-12.599999999999994,-8.0,8.0,-6.0
184515,Split,DRX,Team Secret,1,Bo3,Playoffs: Upper Semifinals,2023-05-20,51.60000000000002,22.0,-22.0,20.0
184515,Bind,DRX,Team Secret,1,Bo3,Playoffs: Upper Semifinals,2023-05-20,77.6,30.0,-30.0,22.0
184516,Lotus,Paper Rex,T1,1,Bo3,Playoffs: Upper Semifinals,2023-05-20,33.0,18.0,-18.0,14.0
184516,Fracture,Paper Rex,T1,1,Bo3,Playoffs: Upper Semifinals,2023-05-20,29.19999999999999,17.0,-17.0,7.0
184517,Haven,T1,ZETA DIVISION,1,Bo3,Playoffs: Lower Round 1,2023-05-21,3.0,8.0,-8.0,14.0
184517,Bind,T1,ZETA DIVISION,0,Bo3,Playoffs: Lower Round 1,2023-05-21,-1.8000000000000114,-2.0,2.0,-13.0
184517,Fracture,T1,ZETA DIVISION,1,Bo3,Playoffs: Lower Round 1,2023-05-21,17.80000000000001,10.0,-10.0,13.0
184518,Ascent,Team Secret,Gen.G,1,Bo3,Playoffs: Lower Round 1,2023-05-21,12.200000000000017,5.0,-5.0,8.0
184518,Haven,Team Secret,Gen.G,0,Bo3,Playoffs: Lower Round 1,2023-05-21,-43.80000000000001,-22.0,22.0,-19.0
184518,Split,Team Secret,Gen.G,0,Bo3,Playoffs: Lower Round 1,2023-05-21,-21.400000000000006,-7.0,7.0,-2.0
184519,Fracture,DRX,Paper Rex,0,Bo3,Playoffs: Upper Final,2023-05-22,-67.39999999999998,-29.0,29.0,-3.0
184519,Bind,DRX,Paper Rex,0,Bo3,Playoffs: Upper Final,2023-05-22,-51.400000000000006,-21.0,22.0,-1.0
184520,Fracture,T1,Gen.G,1,Bo3,Playoffs: Lower Round 2,2023-05-22,17.799999999999983,11.0,-11.0,-9.0
184520,Ascent,T1,Gen.G,1,Bo3,Playoffs: Lower Round 2,2023-05-22,40.39999999999998,18.0,-18.0,23.0
184521,Ascent,DRX,T1,0,Bo5,Playoffs: Lower Final,2023-05-27,-27.599999999999994,-12.0,12.0,2.0
184521,Fracture,DRX,T1,1,Bo5,Playoffs: Lower Final,2023-05-27,13.0,3.0,-4.0,10.0
184521,Haven,DRX,T1,1,Bo5,Playoffs: Lower Final,2023-05-27,21.400000000000006,5.0,-5.0,21.0
184521,Bind,DRX,T1,0,Bo5,Playoffs: Lower Final,2023-05-27,-46.400000000000006,-21.0,21.0,-1.0
184521,Pearl,DRX,T1,1,Bo5,Playoffs: Lower Final,2023-05-27,22.0,9.0,-9.0,14.0
184522,Fracture,Paper Rex,DRX,0,Bo5,Playoffs: Grand Final,2023-05-28,-23.0,-8.0,8.0,-3.0
184522,Ascent,Paper Rex,DRX,0,Bo5,Playoffs: Grand Final,2023-05-28,-9.400000000000006,1.0,-1.0,-24.0
